SEMANTIC_CATEGORY,REF_ID,EN
UI_BUTTON_TEXT,GAME_UI_TITLE_QUICK_CONSTRUCTED,Constructed Quick Match
UI_BUTTON_TEXT,GAME_UI_TITLE_QUICK_RANDOM,Random Quick Match
UI_SCREEN_PROMPT,GAME_UI_BOSS_SELECT_PROMPT,"The Run ends here. Chosen now, fought last."
UI_SCREEN_PROMPT,GAME_UI_BUILD_PROMPT,ACTIVE BUILD (top to bottom) — order is charge priority
UI_SCREEN_PROMPT,GAME_UI_DECK_SELECT_PROMPT,Choose the Deck you carry
UI_SCREEN_PROMPT,GAME_UI_HACKER_SELECT_PROMPT,Choose who runs this breach
UI_SCREEN_PROMPT,GAME_UI_HOST_SELECT_PROMPT,Choose the HOST you will run from
UI_SCREEN_PROMPT,GAME_UI_PATH_PROMPT,Choose your route
UI_SCREEN_PROMPT,GAME_UI_PATH_PROMPT_EXHAUSTED,"Choose your route  ·  one UPGRADE remains, so both paths offer it"
UI_SCREEN_PROMPT,GAME_UI_RESULT_LOSS,Hacker LINK severed.
UI_SCREEN_PROMPT,GAME_UI_RESULT_QUICK_WIN,System ICE breached.
UI_SCREEN_PROMPT,GAME_UI_RESULT_RUN_WIN,{opponent} breached — battle {current} of {total}.
UI_SCREEN_PROMPT,GAME_UI_ROUTE_COMMITTED_PROMPT,The Boss route is set. Continue when you are ready.
UI_SCREEN_PROMPT,GAME_UI_RUN_COMPLETE_PROMPT,{opponent} is breached.
UI_SCREEN_PROMPT,GAME_UI_SYSTEM_SELECT_PROMPT,Choose the System you will breach
UI_SCREEN_TITLE,GAME_UI_BOSS_SELECT_HEADING,SELECT BOSS
UI_SCREEN_TITLE,GAME_UI_BUILD_HEADING,BUILD
UI_SCREEN_TITLE,GAME_UI_DECK_SELECT_HEADING,SELECT DECK
UI_SCREEN_TITLE,GAME_UI_HACKER_SELECT_HEADING,SELECT HACKER
UI_SCREEN_TITLE,GAME_UI_HOST_SELECT_HEADING,SELECT HOST
UI_SCREEN_TITLE,GAME_UI_PATH_HEADING,BATTLE {current} OF {total}
UI_SCREEN_TITLE,GAME_UI_PAUSE_HEADING,PAUSED
UI_SCREEN_TITLE,GAME_UI_RESULT_DEFEAT,DEFEAT
UI_SCREEN_TITLE,GAME_UI_RESULT_VICTORY,VICTORY
UI_SCREEN_TITLE,GAME_UI_ROUTE_COMMITTED_HEADING,ROUTE COMMITTED
UI_SCREEN_TITLE,GAME_UI_RUN_COMPLETE_HEADING,RUN COMPLETE
UI_SCREEN_TITLE,GAME_UI_SYSTEM_SELECT_HEADING,SELECT SYSTEM
UI_STATUS_TEXT,GAME_UI_BATTLE_BUFF_TOTAL,B +{buff}
UI_STATUS_TEXT,GAME_UI_BATTLE_CHARGE,{charge}/{cost}
UI_STATUS_TEXT,GAME_UI_BATTLE_DAMAGE_TAG,-{amount}
UI_STATUS_TEXT,GAME_UI_BATTLE_HACKER,HACKER
UI_STATUS_TEXT,GAME_UI_BATTLE_ICE,ICE
UI_STATUS_TEXT,GAME_UI_BATTLE_LINK,LINK
UI_STATUS_TEXT,GAME_UI_BATTLE_SHIELD_TOTAL,S {shield}
UI_STATUS_TEXT,GAME_UI_BATTLE_STAT,{stat} {value}/{maximum}
UI_STATUS_TEXT,GAME_UI_BATTLE_TURN,Turn {turn}
UI_STATUS_TEXT,GAME_UI_BUILD_CONTEXT_BATTLE,Battle {current} of {total}  ·  vs {opponent}  ·  ICE {ice}
UI_STATUS_TEXT,GAME_UI_BUILD_CONTEXT_BOSS,Boss: {boss}
UI_STATUS_TEXT,GAME_UI_BUILD_CONTEXT_HOST,HOST {host}  ·  LINK {link}
UI_STATUS_TEXT,GAME_UI_BUILD_CONTEXT_UPGRADES,UPGRADEs: {upgrades}
UI_STATUS_TEXT,GAME_UI_BUILD_CONTEXT_UPGRADES_NONE,UPGRADEs: none yet
UI_STATUS_TEXT,GAME_UI_CARD_ADD_LINK,+{link} LINK
UI_STATUS_TEXT,GAME_UI_CARD_FUNCTION,Function: {function}
UI_STATUS_TEXT,GAME_UI_CARD_ICE,ICE {ice}
UI_STATUS_TEXT,GAME_UI_CARD_LINK,LINK {link}
UI_STATUS_TEXT,GAME_UI_CARD_NO_PASSIVES,no PASSIVEs
UI_STATUS_TEXT,GAME_UI_CARD_STRONG,"Strong: {colors}, {shapes}"
UI_STATUS_TEXT,GAME_UI_CARD_WEAK,"Weak:   {colors}, {shapes}"
UI_STATUS_TEXT,GAME_UI_MSG_DAMAGE,  {amount} damage to {target}
UI_STATUS_TEXT,GAME_UI_MSG_FIRES,{who} fires {function}
UI_STATUS_TEXT,GAME_UI_MSG_FIZZLED,  fizzled
UI_STATUS_TEXT,GAME_UI_MSG_LINE_CLEAR,  line clear
UI_STATUS_TEXT,GAME_UI_MSG_SAVE_FAILED,Save failed
UI_STATUS_TEXT,GAME_UI_MSG_SHIELD_ABSORBED,  shield absorbed {amount}
UI_STATUS_TEXT,GAME_UI_MSG_TARGETING,Choose a Packet — tap the Function again to cancel
UI_STATUS_TEXT,GAME_UI_MSG_TARGETING_CANCELLED,Targeting cancelled
UI_STATUS_TEXT,GAME_UI_MSG_WINS,{who} wins
UI_STATUS_TEXT,GAME_UI_MSG_WITHHELD,  {who} withheld — {reason}
UI_STATUS_TEXT,GAME_UI_PATH_BOSS_TAG,  ·  BOSS
UI_STATUS_TEXT,GAME_UI_PATH_HOST_LINE,HOST: {host} — {effect}
UI_STATUS_TEXT,GAME_UI_PATH_UPGRADE_LINE,UPGRADE: {upgrade} — {effect}
UI_STATUS_TEXT,GAME_UI_PAUSE_MODE_QUICK,Quick Match
UI_STATUS_TEXT,GAME_UI_PAUSE_MODE_RUN,Battle {current} of {total} · vs {opponent}
UI_STATUS_TEXT,GAME_UI_PAUSE_MODE_RUN_BOSS,Battle {current} of {total} · {opponent}
UI_STATUS_TEXT,GAME_UI_REPORT_BATTLE_HEADING,BATTLE
UI_STATUS_TEXT,GAME_UI_REPORT_BOMB_DAMAGE,bomb-caused (incl. its cascades): {amount}
UI_STATUS_TEXT,GAME_UI_REPORT_BUFF_ADDED,Buff added: {amount}
UI_STATUS_TEXT,GAME_UI_REPORT_CHARGE_WASTED,Charge wasted (no Program could take it): {amount}
UI_STATUS_TEXT,GAME_UI_REPORT_CONTESTED,Opponent-bound Packets sliced: {contested} of {destroyed} ({percent}%)
UI_STATUS_TEXT,GAME_UI_REPORT_DECK,"{name} [{id} deck]: fired {fires}, neutral charge {charge} (wasted {wasted})"
UI_STATUS_TEXT,GAME_UI_REPORT_DEEPEST_CASCADE,Deepest cascade: {rounds} RNG rounds
UI_STATUS_TEXT,GAME_UI_REPORT_DETONATIONS,Detonations: {count}
UI_STATUS_TEXT,GAME_UI_REPORT_FUNCTION_DAMAGE,Function-caused (incl. its cascades): {amount}
UI_STATUS_TEXT,GAME_UI_REPORT_LINESLICE_DAMAGE,line-slice-caused (incl. its cascades): {amount}
UI_STATUS_TEXT,GAME_UI_REPORT_LINE_CLEARS,Line clears: {count}
UI_STATUS_TEXT,GAME_UI_REPORT_PASSIVE,"{passive} via {source}: {triggers} trigger(s), {damage} damage"
UI_STATUS_TEXT,GAME_UI_REPORT_PASSIVE_DAMAGE,PASSIVE-caused: {amount}
UI_STATUS_TEXT,GAME_UI_REPORT_SHIELDED_HITS,"Shielded hits: {hits}, damage prevented: {prevented}"
UI_STATUS_TEXT,GAME_UI_REPORT_SHIELDS,"System shields — created {created}, sliced {sliced}"
UI_STATUS_TEXT,GAME_UI_REPORT_SIDE_HACKER,HACKER
UI_STATUS_TEXT,GAME_UI_REPORT_SIDE_SYSTEM,SYSTEM
UI_STATUS_TEXT,GAME_UI_REPORT_SYNC_DAMAGE,Sync-caused (incl. its cascades): {amount}
UI_STATUS_TEXT,GAME_UI_REPORT_SYNC_LOCKS,Sync-locks (auto-reshuffles): {count}
UI_STATUS_TEXT,GAME_UI_REPORT_TOTAL_DAMAGE,Total damage dealt: {amount}
UI_STATUS_TEXT,GAME_UI_REPORT_TRANSFORM_DAMAGE,transform-caused (incl. its cascades): {amount}
UI_STATUS_TEXT,GAME_UI_REPORT_TURNS,Turns to resolution: {turns}
UI_STATUS_TEXT,GAME_UI_REPORT_UNIT,"{name} [{id}]: fired {fires}, effect {effect}"
UI_STATUS_TEXT,GAME_UI_REPORT_WITHHOLDS,System withholds: {count}
UI_STATUS_TEXT,GAME_UI_SEED_STAMP,seed {seed} · content {fingerprint}
UI_STATUS_TEXT,GAME_UI_SIDE_HACKER,Hacker
UI_STATUS_TEXT,GAME_UI_TITLE_CONTENT_STAMP,content {fingerprint}
UPGRADE_NAME,UPG_01,BRACER
UPGRADE_NAME,UPG_02,GRACE
UPGRADE_NAME,UPG_03,L33TSK1LL
UPGRADE_NAME,UPG_04,SNEAKERS
